centroide,CoordX,CoordY,S1-III,S1-IV,TS(TL),TS(TC),M1.2,M1.1,G1.1,G1.2,A1.1,A1.2,TL,P,TS(S2)IV,TS(S2)III,TS(S2)V,S1-V,CN,S1-VII,M2.1,M2.2,TS(S2)VI
VMy_1,5390431.968,5963792.728,,,,,,,,,,,,,,,,,50,,,,
NJ_1,5378171.367,5983425.392,,,,,,,,,,,,74,,,,,,,,,
NJ_2,5404834.347,6096604.298,,,,,,,,,,,,75,,,,,,,,,
NJ_3,5425735.236,6086237.247,,,,,,,,,,,,75,,,,,,,,,
AP_1,5687552.867,5817214.003,,,,,,,,,,,,,,,,,143,,,,
Ay_1,5510999.973,5957970.512,,,,,,,,,,,,65,,,,,,,,,
Ay_2,5520771.637,5972237.26,,,,,,,,,,,,64,,,,,,,,,
Ay_3,5658751.826,5873112.539,,,,,,,,,,,,61,,,,,,,,,
Ay_4,5710248.136,5813815.086,,,,,,,,,,,,64,,,,,,,,,
Ay_5,5607529.94,5912192.646,,,,,,,,,,,,61,,,,,,,,,
Bv_1,5372919.607,5972451.638,,,,,,,,,,,,65,,,,,,,,,
Bv_2,5537378.494,6064142.182,,,,,,,,,,,,55,,,,,,,,,
Bv_3,5519483.267,6088197.404,,,,,,,,,,,,59,,,,,,,,,
Bra_1,5488208.247,6109452.209,,,,,,,,,,,,86,,,,,,,,,
Cas_1,5666615.006,6011477.819,,,,,,,,,,,,,,,,,86,,,,
Cas_2,5639608.166,6020056.979,,,,,,,,,,,,,,,,,82,,,,
Cha_1,5504076.495,6116457.977,,,,,,,,,,,,89,,,,,,,,,
Che_1,5542360.163,5937113.52,,,,,,,,,,,,,,,,,98,,,,
Che_2,5537669.736,5965965.727,,,,,,,,,,,,,,,,,100,,,,
Che_3,5652705.371,5850809.997,,,,,,,,,,,,,,,,,93,,,,
Che_4,5659753.275,5907752.146,,,,,,,,,,,,,,,,,74,,,,
Che_5,5688082.876,5814603.605,,,,,,,,,,,,,,,,,96,,,,
Che_6,5563985.093,5906226.28,,,,,,,,,,,,,,,,,95,,,,
Che_7,5727550.845,5885939.668,,,,,,,,,,,,,,,,,85,,,,
CC_1,5571697.194,5801365.825,,,,,,,,,,,,68,,,,,,,,,
CC_2,5578928.899,5799382.885,,,,,,,,,,,,68,,,,,,,,,
CC_3,5539455.191,5893882.937,,,,,,,,,,,,67,,,,,,,,,
CM_1,5718557.511,5975962.714,,,,,,,,,,,,28,,,,,,,,,
Cob_1,5698056.342,5892306.663,,,,,,,,,,,,59,,,,,,,,,
Cru_1,5460974.6,5797312.714,,,,,,,,,,,,70,,,,,,,,,
Cru_2,5511016.205,5808099.398,,,,,,,,,,,,79,,,,,,,,,
Cru_3,5514822.516,5832105.131,,,,,,,,,,,,80,,,,,,,,,
DV_1,5392300.705,6009008.625,,,,,,,,,,,,48,,,,,,,,,
DV_2,5379297.96,5969262.306,,,,,,,,,,,,47,,,,,,,,,
ED_1,5720915.165,6025294.57,,,,,,,,,,,,,,,,,89,,,,
ED_2,5736198.648,6041329.004,,,,,,,,,,,,,,,,,92,,,,
EV_1,5481259.009,5797564.306,,,,,,,,,,,,83,,,,,,,,,
EV_2,5375896.324,5813099.516,,,,,,,,,,,,94,,,,,,,,,
EV_3,5370323.093,5831068.834,,,,,,,,,,,,94,,,,,,,,,
EV_4,5385921.18,5835801.885,,,,,,,,,,,,93,,,,,,,,,
EV_5,5480573.37,5727403.971,,,,,,,,,,,,84,,,,,,,,,
LLa_1,5412821.596,6110452.181,,,,,,,,,,,,104,,,,,,,,,
LLa_2,5453099.172,6077011.503,,,,,,,,,,,,106,,,,,,,,,
EN_1,5471024.545,6101326.43,,,,,,,,,,,,78,,,,,,,,,
EY_1,5546093.434,5988958.511,,,,,,,,,,,,76,,,,,,,,,
EY_2,5599995.378,5992978.954,,,,,,,,,,,,68,,,,,,,,,
EY_3,5551289.898,6015483.993,,,,,,,,,,,,75,,,,,,,,,
GG_1,5572050.379,5943410.527,,,,,,,,,,,,,,,,,96,,,,
GG_2,5657114.5,5867486.653,,,,,,,,,,,,,,,,,93,,,,
GG_3,5681146.824,5953605.915,,,,,,,,,,,,,,,,,82,,,,
GG_4,5607432.164,5957058.961,,,,,,,,,,,,,,,,,96,,,,
GG_5,5648202.146,6016531.782,,,,,,,,,,,,,,,,,85,,,,
GG_6,5698655.064,5853618.962,,,,,,,,,,,,,,,,,94,,,,
GG_7,5634000.63,5926724.072,,,,,,,,,,,,,,,,,96,,,,
GG_8,5710940.695,5908095.165,,,,,,,,,,,,,,,,,87,,,,
GP_1,5721483.694,5847578.908,,,,,,,,,,,,,,,,,91,,,,
GP_2,5737797.402,5862893.585,,,,,,,,,,,,,,,,,84,,,,
Gt_1,5531125.499,6112089.804,,,,,,,,,,,,,,,,,108,,,,
Gt_2,5485328.36,6136600.841,,,,,,,,,,,,,,,,,142,,,,
Gt_3,5490557.449,6128950.961,,,,,,,,,,,,,,,,,140,,,,
Gt_4,5528081.314,6123441.186,,,,,,,,,,,,,,,,,111,,,,
Gw_1,5556374.804,6130684.817,,,,,,,,,,,,,,,,,89,,,,
